epoch,step,train_loss_epoch,train_loss_step,val_acc/r@1,val_loss,val_macro_acc,val_r@10,val_r@2,val_r@3,val_r@4,val_r@5,val_r@6,val_r@7,val_r@8,val_r@9
0,49,,5.4296875,,,,,,,,,,,,
0,99,,4.7855224609375,,,,,,,,,,,,
0,149,,4.92083740234375,,,,,,,,,,,,
0,199,,3.4619140625,,,,,,,,,,,,
0,249,,1.9361572265625,,,,,,,,,,,,
0,299,,2.2398681640625,,,,,,,,,,,,
0,349,,2.8434219360351562,,,,,,,,,,,,
0,399,,2.9515724182128906,,,,,,,,,,,,
0,449,,1.1605033874511719,,,,,,,,,,,,
0,499,,2.0021705627441406,,,,,,,,,,,,
0,549,,2.3108253479003906,,,,,,,,,,,,
0,599,,3.098419189453125,,,,,,,,,,,,
0,649,,1.725982666015625,,,,,,,,,,,,
0,699,,1.347503662109375,,,,,,,,,,,,
0,749,,1.7780355215072632,,,,,,,,,,,,
0,749,,,0.5210000276565552,2.0987164974212646,0.3843090236186981,0.8740000128746033,0.6639999747276306,0.7429999709129333,0.7850000262260437,0.8100000023841858,0.8289999961853027,0.8410000205039978,0.8579999804496765,0.8669999837875366
0,749,2.977694034576416,,,,,,,,,,,,,
1,799,,1.645115852355957,,,,,,,,,,,,
1,849,,0.7656393051147461,,,,,,,,,,,,
1,899,,1.774850845336914,,,,,,,,,,,,
1,949,,2.5642147064208984,,,,,,,,,,,,
1,999,,1.3670120239257812,,,,,,,,,,,,
1,1049,,1.0977287292480469,,,,,,,,,,,,
1,1099,,1.9277153015136719,,,,,,,,,,,,
1,1149,,2.2377758026123047,,,,,,,,,,,,
1,1199,,0.9782085418701172,,,,,,,,,,,,
1,1249,,1.7840690612792969,,,,,,,,,,,,
1,1299,,1.6147537231445312,,,,,,,,,,,,
1,1349,,1.7217216491699219,,,,,,,,,,,,
1,1399,,1.1648750305175781,,,,,,,,,,,,
1,1449,,1.2173709869384766,,,,,,,,,,,,
1,1499,,2.274686336517334,,,,,,,,,,,,
1,1499,,,0.5649999976158142,1.7552788257598877,0.4260164797306061,0.9010000228881836,0.7269999980926514,0.7960000038146973,0.8289999961853027,0.859000027179718,0.871999979019165,0.8820000290870667,0.8899999856948853,0.8960000276565552
1,1499,1.565598964691162,,,,,,,,,,,,,
2,1549,,0.7760486602783203,,,,,,,,,,,,
2,1599,,1.2203006744384766,,,,,,,,,,,,
2,1649,,1.0163860321044922,,,,,,,,,,,,
2,1699,,1.3760089874267578,,,,,,,,,,,,
2,1749,,0.9958267211914062,,,,,,,,,,,,
2,1799,,0.6742820739746094,,,,,,,,,,,,
2,1849,,0.5532741546630859,,,,,,,,,,,,
2,1899,,1.9815077781677246,,,,,,,,,,,,
2,1949,,1.6106767654418945,,,,,,,,,,,,
2,1999,,0.8843421936035156,,,,,,,,,,,,
2,2049,,1.3019828796386719,,,,,,,,,,,,
2,2099,,1.1624221801757812,,,,,,,,,,,,
2,2149,,0.8311290740966797,,,,,,,,,,,,
2,2199,,1.3171753883361816,,,,,,,,,,,,
2,2249,,0.8131231069564819,,,,,,,,,,,,
2,2249,,,0.5799999833106995,1.6908996105194092,0.437709242105484,0.9129999876022339,0.7319999933242798,0.8069999814033508,0.8429999947547913,0.8659999966621399,0.8740000128746033,0.8870000243186951,0.8989999890327454,0.9049999713897705
2,2249,1.1151537895202637,,,,,,,,,,,,,
