epoch,step,train_loss_epoch,train_loss_step,val_acc/r@1,val_loss,val_macro_acc,val_r@10,val_r@2,val_r@3,val_r@4,val_r@5,val_r@6,val_r@7,val_r@8,val_r@9
0,49,,5.357421875,,,,,,,,,,,,
0,99,,4.44140625,,,,,,,,,,,,
0,149,,3.6295166015625,,,,,,,,,,,,
0,199,,3.8453826904296875,,,,,,,,,,,,
0,249,,3.4063720703125,,,,,,,,,,,,
0,299,,2.8193359375,,,,,,,,,,,,
0,349,,2.3942794799804688,,,,,,,,,,,,
0,399,,2.0485191345214844,,,,,,,,,,,,
0,449,,1.7799224853515625,,,,,,,,,,,,
0,499,,2.2147789001464844,,,,,,,,,,,,
0,549,,2.3636245727539062,,,,,,,,,,,,
0,599,,2.6925277709960938,,,,,,,,,,,,
0,649,,2.069477081298828,,,,,,,,,,,,
0,699,,2.6208648681640625,,,,,,,,,,,,
0,749,,0.8905029296875,,,,,,,,,,,,
0,749,,,0.5189999938011169,2.0728604793548584,0.3721890449523926,0.8769999742507935,0.6679999828338623,0.7419999837875366,0.781000018119812,0.8059999942779541,0.8339999914169312,0.8510000109672546,0.8619999885559082,0.8740000128746033
0,749,3.0491480827331543,,,,,,,,,,,,,
1,799,,1.7629356384277344,,,,,,,,,,,,
1,849,,2.051919937133789,,,,,,,,,,,,
1,899,,2.1982421875,,,,,,,,,,,,
1,949,,1.7693061828613281,,,,,,,,,,,,
1,999,,2.1069459915161133,,,,,,,,,,,,
1,1049,,2.436891555786133,,,,,,,,,,,,
1,1099,,1.0812797546386719,,,,,,,,,,,,
1,1149,,1.747828483581543,,,,,,,,,,,,
